,Unnamed: 0,drugName,condition
721,2057,tri-previfem,Birth Control
722,2065,atorvastatin,High Cholesterol
723,2072,carisoprodol,Muscle Spasm
724,2073,gildess fe 1.5 / 30,Acne
725,2077,viagra,Erectile Dysfunction
726,2084,famotidine / ibuprofen,NSAID-Induced Ulcer Prophylaxis
727,2090,selenium sulfide,Tinea Versicol
728,2100,aubra,Birth Control
729,2103,tocilizumab,Rheumatoid Arthritis
730,2119,lacosamide,Seizures
731,2131,axiron,"Hypogonadism, Male"
732,2137,finacea,Rosacea
733,2147,hydrocodone / ibuprofen,Pain
734,2149,vantin,Sinusitis
735,2156,silenor,Insomnia
736,2164,rivaroxaban,Deep Vein Thrombosis
737,2165,motrin,Pain
738,2170,cholestyramine,Irritable Bowel Syndrome
739,2176,ketamine,Anesthesia
740,2180,flurazepam,Insomnia
741,2185,aubagio,Multiple Sclerosis
742,2189,nebivolol,High Blood Pressure
743,2191,vandazole,Bacterial Vaginitis
744,2198,clopidogrel,Heart Attack
745,2212,imuran,Crohn's Disease
746,2213,avanafil,Erectile Dysfunction
747,2218,robaxin-750,Muscle Spasm
748,2221,hydrochlorothiazide / lisinopril,High Blood Pressure
749,2224,targiniq er,Pain
750,2227,drospirenone / ethinyl estradiol / levomefolate calcium,Birth Control
751,2229,breo ellipta,Asthma
752,2230,zonisamide,Migraine Prevention
753,2232,diamox,Pseudotumor Cerebri
754,2235,warfarin,"Pulmonary Embolism, Recurrent Event"
755,2236,amlodipine,High Blood Pressure
756,2238,midazolam,Light Sedation
757,2242,parnate,Depression
758,2243,next choice,Emergency Contraception
759,2260,gleevec,Acute Lymphoblastic Leukemia
760,2264,movantik,Opioid-Induced Constipation
761,2270,cabergoline,Hyperprolactinemia
762,2273,opcicon one-step,Emergency Contraception
763,2277,vivelle-dot,Postmenopausal Symptoms
764,2281,estrace vaginal cream,Atrophic Vaginitis
765,2283,trihexyphenidyl,Extrapyramidal Reaction
766,2284,acetaminophen / propoxyphene,Pain
767,2296,invega sustenna,Schizophrenia
768,2305,mephobarbital,Epilepsy
769,2313,nexium,GERD
770,2319,insulin glargine,"Diabetes, Type 2"
771,2329,hydromet,Cough
772,2332,tenofovir,Hepatitis B
773,2345,chlordiazepoxide,Alcohol Withdrawal
774,2347,taltz,Plaque Psoriasis
775,2351,blisovi 24 fe,Birth Control
776,2355,campral,Alcohol Dependence
777,2357,loratadine / pseudoephedrine,Allergic Rhinitis
778,2367,sodium biphosphate / sodium phosphate,Bowel Preparation
779,2373,risedronate,Osteoporosis
780,2396,lenalidomide,Multiple Myeloma
781,2401,klor-con,Prevention of Hypokalemia
782,2408,furosemide,Edema
783,2418,exemestane,Breast Cance
784,2422,diclegis,Nausea/Vomiting of Pregnancy
785,2426,monodox,Acne
786,2437,bethanechol,Urinary Retention
787,2442,portia,Birth Control
788,2444,eliquis,Prevention of Thromboembolism in Atrial Fibrillation
789,2447,prochlorperazine,Nausea/Vomiting
790,2467,diclofenac / misoprostol,Sciatica
791,2468,amlodipine / benazepril,High Blood Pressure
792,2475,adzenys xr-odt,ADHD
793,2481,natalizumab,Multiple Sclerosis
794,2501,aldactone,Acne
795,2508,benadryl,Nausea/Vomiting
796,2515,niaspan,High Cholesterol
797,2525,citric acid / magnesium oxide / sodium picosulfate,Bowel Preparation
798,2535,fioricet,Headache
799,2539,clonidine,Opiate Withdrawal
800,2540,lactulose,"Constipation, Acute"
801,2548,guaifenesin / pseudoephedrine,Cough and Nasal Congestion
802,2550,r-tanna,Allergic Rhinitis
803,2551,jublia,"Onychomycosis, Toenail"
804,2564,atenolol,High Blood Pressure
805,2567,solifenacin,Overactive Bladde
806,2581,lidoderm,Pain
807,2587,bismuth subcitrate potassium / metronidazole / tetracycline,Helicobacter Pylori Infection
808,2601,nicotrol inhaler,Smoking Cessation
809,2602,levlen,Endometriosis
810,2603,asacol,Ulcerative Colitis
811,2604,viorele,Birth Control
812,2606,depakote er,Bipolar Disorde
813,2614,fortesta,"Hypogonadism, Male"
814,2616,silvadene,"Burns, External"
815,2627,estring,Atrophic Vaginitis
816,2630,duragesic,Pain
817,2632,xyzal,Allergic Rhinitis
818,2652,artane,Extrapyramidal Reaction
819,2657,tafinlar,"Melanoma, Metastatic"
820,2659,orencia,Rheumatoid Arthritis
821,2665,lyza,Birth Control
822,2669,tegretol xr,Trigeminal Neuralgia
823,2672,ceftin,Bronchitis
824,2673,tambocor,Atrial Flutte
825,2681,previfem,Birth Control
826,2683,duavee,Hot Flashes
827,2699,microgestin 1 / 20,Birth Control
828,2704,ocular lubricant,Dry Eye Disease
829,2727,vascepa,Hypertriglyceridemia
830,2740,protonix iv,Barrett's Esophagus
831,2741,hc-derma-pax,Pruritus
832,2760,welchol,High Cholesterol
833,2764,tirosint,Hashimoto's disease
834,2768,sandostatin,Carcinoid Tum
835,2771,patanol,Seasonal Allergic Conjunctivitis
836,2774,olmesartan,High Blood Pressure
837,2775,xolair,"Asthma, Maintenance"
838,2776,irbesartan,High Blood Pressure
839,2779,lidocaine,Pain
840,2781,librax,Irritable Bowel Syndrome
841,2811,chlorthalidone,High Blood Pressure
842,2822,naprelan,Muscle Pain
843,2836,prolia,Osteoporosis
844,2838,dolutegravir,HIV Infection
845,2845,cefpodoxime,Bladder Infection
846,2848,clocortolone,Psoriasis
847,2853,ultram,Back Pain
848,2862,afrezza,"Diabetes, Type 2"
849,2878,tysabri,Multiple Sclerosis
850,2881,lactobacillus acidophilus,Irritable Bowel Syndrome
851,2883,oxaliplatin,Colorectal Cance
852,2886,mexiletine,Arrhythmia
853,2888,halcion,Insomnia
854,2891,somatropin,Adult Human Growth Hormone Deficiency
855,2893,enjuvia,Postmenopausal Symptoms
856,2921,"multivitamin, prenatal",Vitamin/Mineral Supplementation during Pregnancy/Lactation
857,2922,omnicef,Otitis Media
858,2933,embeda,Pain
859,2940,triamcinolone,Atopic Dermatitis
860,2948,uloric,Gout
861,2954,caffeine,Hypersomnia
862,2957,arthrotec,Sciatica
863,2960,sodium hyaluronate,Osteoarthritis
864,2965,zarah,Birth Control
865,2973,benicar hct,High Blood Pressure
866,2975,hydrochlorothiazide / spironolactone,Edema
867,2977,sumavel dosepro,Migraine
868,2999,immune globulin subcutaneous,Primary Immunodeficiency Syndrome
869,3002,certolizumab,Rheumatoid Arthritis
870,3004,aftera,Emergency Contraception
871,3013,pemoline,ADHD
872,3017,delsym,Cough
873,3024,capzasin-hp,Osteoarthritis
874,3033,topicort,Eczema
875,3041,carvedilol,Atrial Fibrillation
876,3043,actiq,Breakthrough Pain
877,3049,phendimetrazine,Obesity
878,3053,mysoline,Seizures
879,3056,acamprosate,Alcohol Dependence
880,3061,prevnar 13,Pneumococcal Disease Prophylaxis
881,3063,doxazosin,High Blood Pressure
882,3067,vistaril,Anxiety
883,3085,conjugated estrogens,Postmenopausal Symptoms
884,3089,rapaflo,Benign Prostatic Hyperplasia
885,3094,vitamin b2,Migraine Prevention
886,3107,acthar,Multiple Sclerosis
887,3109,memantine,Migraine
888,3120,heather,Birth Control
889,3122,apixaban,Prevention of Thromboembolism in Atrial Fibrillation
890,3127,patanase,Allergic Rhinitis
891,3130,januvia,"Diabetes, Type 2"
892,3132,nicotine,Smoking Cessation
893,3139,s-adenosylmethionine,Depression
894,3157,zetia,High Cholesterol
895,3162,feldene,Rheumatoid Arthritis
896,3166,pradaxa,Prevention of Thromboembolism in Atrial Fibrillation
897,3181,abacavir / dolutegravir / lamivudine,HIV Infection
898,3186,dextromethorphan / quinidine,Pseudobulbar Affect
899,3199,acetaminophen / tramadol,Pain
900,3201,tazarotene,Acne
901,3202,opcon-a,Eye Redness/Itching
902,3210,ketoprofen,Pain
903,3216,golimumab,Rheumatoid Arthritis
904,3218,kava,Anxiety and Stress
905,3219,loestrin fe 1.5 / 30,Birth Control
906,3235,letairis,Pulmonary Hypertension
907,3249,coartem,Malaria
908,3265,complera,HIV Infection
909,3283,nasacort,Allergic Rhinitis
910,3296,pramoxine,Hemorrhoids
911,3316,clindesse,Bacterial Vaginitis
912,3318,cozaar,High Blood Pressure
913,3320,multivitamin,Dietary Supplementation
914,3327,chlorpromazine,Light Sedation
915,3328,protopic,Atopic Dermatitis
916,3330,migranal,Migraine
917,3333,alli,Obesity
918,3338,teriparatide,Osteoporosis
919,3340,dihydroergotamine,Migraine
920,3356,potassium chloride,Hypokalemia
921,3363,chateal,Birth Control
922,3365,quasense,Abnormal Uterine Bleeding
923,3370,anafranil,Panic Disorde
924,3378,advair diskus,"Asthma, Maintenance"
925,3382,nefazodone,Depression
926,3387,ditropan,Urinary Incontinence
927,3388,taytulla,Birth Control
928,3397,kenalog,Atopic Dermatitis
929,3400,tenormin,Anxiety
930,3417,rebif,Multiple Sclerosis
931,3418,copaxone,Multiple Sclerosis
932,3421,generess fe,Birth Control
933,3426,hydroxyurea,"Anemia, Sickle Cell"
934,3432,retisert,Uveitis
935,3443,alfuzosin,Not Listed / Othe
936,3444,penciclovir,Cold Sores
937,3450,betamethasone / calcipotriene,Plaque Psoriasis
938,3454,brisdelle,Hot Flashes
939,3479,dyanavel xr,ADHD
940,3480,allerx dose pack df,Rhinitis
941,3488,deltasone,Sinusitis
942,3494,amaryl,"Diabetes, Type 2"
943,3501,soolantra,Rosacea
944,3508,mucinex,ibromyalgia
945,3516,desyrel,ibromyalgia
946,3520,levocetirizine,Allergies
947,3528,cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,HIV Infection
948,3542,lopinavir / ritonavir,HIV Infection
949,3546,byetta,"Diabetes, Type 2"
950,3569,catapres-tts,High Blood Pressure
951,3580,chlorpheniramine,Allergic Rhinitis
952,3581,sustiva,HIV Infection
953,3590,zaleplon,Insomnia
954,3603,farxiga,"Diabetes, Type 2"
955,3611,janumet,"Diabetes, Type 2"
956,3613,lo / ovral-28,Birth Control
957,3639,docetaxel,Breast Cance
958,3645,lantus solostar,"Diabetes, Type 2"
959,3649,oxistat,Tinea Corporis
960,3670,selegiline,Depression
961,3673,sunitinib,Renal Cell Carcinoma
962,3680,levorphanol,Pain
963,3684,cheratussin ac,Cough
964,3686,umeclidinium / vilanterol,COPD
965,3690,erlotinib,Non-Small Cell Lung Cance
966,3693,forteo,Osteoporosis
967,3698,seasonale,Birth Control
968,3711,actemra,Rheumatoid Arthritis
969,3712,urso forte,Biliary Cirrhosis
970,3731,aspirin,Back Pain
971,3767,zyprexa zydis,Bipolar Disorde
972,3782,cosentyx,Plaque Psoriasis
973,3800,miralax,Constipation
974,3810,esgic,Headache
975,3815,rituximab,Non-Hodgkin's Lymphoma
976,3818,fluticasone / vilanterol,Asthma
977,3833,tacrolimus,Atopic Dermatitis
978,3849,supartz,Osteoarthritis
979,3854,tenuate,Obesity
980,3868,beclomethasone,"Asthma, Maintenance"
981,3875,fenofibric acid,High Cholesterol
982,3890,panlor ss,Pain
983,3914,methylnaltrexone,"Constipation, Drug Induced"
984,3925,benicar,High Blood Pressure
985,3933,sofosbuvir / velpatasvir,Hepatitis C
986,3936,methadose,Pain
987,3938,calcitriol,Psoriasis
988,3942,emtricitabine / rilpivirine / tenofovir,HIV Infection
989,3955,didrex,Obesity
990,3958,dextroamphetamine,ADHD
991,3974,codeine,Pain
992,3978,kerydin,"Onychomycosis, Toenail"
993,3980,requip,Restless Legs Syndrome
994,3989,arimidex,Breast Cance
995,3990,pylera,Helicobacter Pylori Infection
996,4029,zohydro er,Pain
997,4035,octreotide,Carcinoid Tum
998,4040,golytely,Bowel Preparation
999,4041,eszopiclone,Insomnia
1000,4053,bicalutamide,Prostate Cance
1001,4074,benzoyl peroxide / erythromycin,Acne
1002,4078,estradiol / levonorgestrel,Postmenopausal Symptoms
1003,4082,evamist,Postmenopausal Symptoms
1004,4086,glipizide,"Diabetes, Type 2"
1005,4096,dicyclomine,Irritable Bowel Syndrome
1006,4099,tarina fe 1 / 20,Birth Control
1007,4102,trileptal,Bipolar Disorde
1008,4126,magnesium citrate,Constipation
1009,4135,rosuvastatin,"High Cholesterol, Familial Heterozygous"
1010,4137,primidone,Benign Essential Trem
1011,4148,yasmin,Birth Control
1012,4152,proair hfa,"COPD, Maintenance"
1013,4154,cefprozil,Bronchitis
1014,4161,comtan,Parkinson's Disease
1015,4165,omega-3 polyunsaturated fatty acids,Hypertriglyceridemia
1016,4180,oleptro,Depression
1017,4190,atacand,High Blood Pressure
1018,4206,xanax xr,Anxiety
1019,4218,human papillomavirus vaccine,Human Papillomavirus Prophylaxis
1020,4223,amoxil,Sinusitis
1021,4249,clobex,Psoriasis
1022,4258,bepotastine,"Conjunctivitis, Allergic"
1023,4261,propafenone,Atrial Fibrillation
1024,4264,siliq,Plaque Psoriasis
1025,4281,prezcobix,HIV Infection
1026,4282,telmisartan,High Blood Pressure
1027,4295,cloderm,Atopic Dermatitis
1028,4303,roxicodone,Pain
1029,4308,ubiquinone,Dietary Supplementation
1030,4317,robaxin,Muscle Spasm
1031,4329,sitavig,Cold Sores
1032,4344,dulcolax laxative,Constipation
1033,4348,flector patch,Pain
1034,4353,ribavirin,Hepatitis C
1035,4363,ultram odt,Chronic Pain
1036,4367,quinine,Nocturnal Leg Cramps
1037,4382,aluminum hydroxide / magnesium trisilicate,GERD
1038,4396,ipratropium,"COPD, Maintenance"
1039,4399,dexchlorpheniramine,Allergic Reactions
1040,4408,ephedrine / guaifenesin,Cold Symptoms
1041,4409,claravis,Acne
1042,4436,gavilyte-c,Bowel Preparation
1043,4440,hydroxyamphetamine / tropicamide,Pupillary Dilation
1044,4451,mct,Dietary Supplementation
1045,4475,onfi,Lennox-Gastaut Syndrome
1046,4484,anoro ellipta,COPD
1047,4500,hylan g-f 20,Osteoarthritis
1048,4521,acanya,Acne
1049,4524,vivitrol,Opiate Dependence
1050,4526,gelnique,Urinary Incontinence
1051,4554,entyvio,Crohn's Disease
1052,4562,dramamine,Motion Sickness
1053,4572,stribild,HIV Infection
1054,4580,desipramine,Depression
1055,4582,biaxin,Bronchitis
1056,4587,casodex,Prostate Cance
1057,4590,maraviroc,HIV Infection
1058,4608,gablofen,Cerebral Spasticity
1059,4610,oxycontin,Chronic Pain
1060,4632,ivermectin,Rosacea
1061,4634,chlorpheniramine / hydrocodone,Cough
1062,4648,egrifta,Lipodystrophy
1063,4660,propecia,Androgenetic Alopecia
1064,4670,vagifem,Atrophic Vaginitis
1065,4674,barium sulfate,Computed Tomography
1066,4682,provigil,Obstructive Sleep Apnea/Hypopnea Syndrome
1067,4684,ursodiol,Biliary Cirrhosis
1068,4685,cardizem la,High Blood Pressure
1069,4688,zofran odt,Nausea/Vomiting
1070,4701,cholecalciferol,Vitamin D Deficiency
1071,4720,tafluprost,"Glaucoma, Open Angle"
1072,4722,singulair,Asthma
1073,4731,granisetron,"Nausea/Vomiting, Chemotherapy Induced"
1074,4746,phenytoin,Seizures
1075,4757,gilotrif,Non-Small Cell Lung Cance
1076,4781,afrin,Nasal Congestion
1077,4786,exforge,High Blood Pressure
1078,4804,benzaclin,Acne
1079,4821,xeloda,Colorectal Cance
1080,4823,vectical,Psoriasis
1081,4837,sancuso,"Nausea/Vomiting, Chemotherapy Induced"
1082,4849,loestrin fe 1 / 20,Acne
1083,4876,zestril,High Blood Pressure
1084,4886,prednisolone,"Asthma, acute"
1085,4915,dasatinib,Chronic Myelogenous Leukemia
1086,4919,pimtrea,Birth Control
1087,4920,doxy 100,Upper Respiratory Tract Infection
1088,4921,tranxene,Anxiety
1089,4938,codeine / promethazine,Cough
1090,4941,xylometazoline,Nasal Congestion
1091,4943,acetaminophen / pamabrom,Back Pain
1092,4947,loryna,Acne
1093,4951,lysine,"Herpes Simplex, Suppression"
1094,4953,ritalin-sr,Narcolepsy
1095,4955,emla,Anesthesia
1096,4962,nubain,Pain
1097,4975,digoxin,Atrial Fibrillation
1098,4980,clarifoam ef,Rosacea
1099,4988,colchicine / probenecid,Gouty Arthritis
1100,4991,hyoscyamine / methenamine / methylene blue / phenyl salicylate,Urinary Tract Infection
1101,4992,anexsia,Pain
1102,5004,unisom sleeptabs,Insomnia
1103,5023,nuox,Acne
1104,5031,bonine,Motion Sickness
1105,5050,synvisc-one,Osteoarthritis
1106,5052,iloperidone,Bipolar Disorde
1107,5091,synvisc,Osteoarthritis
1108,5093,septra,Bronchitis
1109,5103,vestura,Birth Control
1110,5113,cerezyme,Gaucher Disease
1111,5114,stadol,Pain
1112,5120,acetaminophen / chlorpheniramine / phenylephrine,Cold Symptoms
1113,5132,sominex,Insomnia
1114,5144,plaquenil,Systemic Lupus Erythematosus
1115,5146,sulfacetamide sodium,Seborrheic Dermatitis
1116,5149,nortrel 1 / 35,Birth Control
1117,5186,perampanel,Epilepsy
1118,5206,gianvi,Menstrual Disorders
1119,5208,methadone diskets,Chronic Pain
1120,5210,pazopanib,Renal Cell Carcinoma
1121,5225,fondaparinux,Deep Vein Thrombosis
1122,5241,septra ds,Bacterial Infection
1123,5248,robitussin coughgels long-acting,Cough
1124,5258,chlordiazepoxide / clidinium,Irritable Bowel Syndrome
1125,5296,pancrelipase,Cystic Fibrosis
1126,5301,acetaminophen / diphenhydramine,Headache
1127,5306,metamucil,Irritable Bowel Syndrome
1128,5307,sulfazine,Ulcerative Colitis
1129,5322,skelaxin,Muscle Spasm
1130,5340,imipramine,Depression
1131,5351,tessalon perles,Cough
1132,5356,teriflunomide,Multiple Sclerosis
1133,5359,pennsaid,Osteoarthritis
1134,5363,hyomax sl,Irritable Bowel Syndrome
1135,5395,zymine,Allergies
1136,5400,esomeprazole / naproxen,Osteoarthritis
1137,5418,allopurinol,Gout
1138,5419,disulfiram,Alcohol Dependence
1139,5456,difluprednate,Uveitis
1140,5463,methylin er,ADHD
1141,5473,venofer,Iron Deficiency Anemia
1142,5474,ascomp with codeine,Headache
1143,5483,azelaic acid,Rosacea
1144,5490,thorazine,Hiccups
1145,5498,dronabinol,"Nausea/Vomiting, Chemotherapy Induced"
1146,5499,formoterol,Bronchospasm Prophylaxis
1147,5501,prefrin,Eye Redness
1148,5504,verdeso,Dermatitis
1149,5511,tobramycin,"Conjunctivitis, Bacterial"
1150,5521,belbuca,Chronic Pain
1151,5529,safyral,Birth Control
1152,5530,hyoscyamine,Irritable Bowel Syndrome
1153,5550,metformin / saxagliptin,min / saxagliptin)
1154,5552,sinemet,Restless Legs Syndrome
1155,5575,combivent,"COPD, Maintenance"
1156,5580,zovirax cream,Cold Sores
1157,5587,keppra xr,Seizures
1158,5588,xiidra,Dry Eye Disease
1159,5596,axid ar,Stomach Ulce
1160,5624,clobazam,Lennox-Gastaut Syndrome
1161,5633,cromolyn,"Asthma, Maintenance"
1162,5655,triumeq,HIV Infection
1163,5658,pitavastatin,High Cholesterol
1164,5659,roflumilast,"COPD, Maintenance"
1165,5679,nitro-dur,High Blood Pressure
1166,5722,aspirin / caffeine / orphenadrine,Muscle Pain
1167,5729,rotigotine,Restless Legs Syndrome
1168,5743,ortho-novum 1 / 35,Birth Control
1169,5748,cyclosporine,Keratoconjunctivitis Sicca
1170,5755,isosorbide mononitrate,Heart Failure
1171,5760,bumex,Edema
1172,5770,dexedrine,ADHD
1173,5772,synthroid,Underactive Thyroid
1174,5782,acetaminophen / codeine,Pain
1175,5784,zirgan,Herpes Simplex Dendritic Keratitis
1176,5786,tikosyn,Arrhythmia
1177,5803,benzoyl peroxide,Acne
1178,5807,doxylamine,Insomnia
1179,5815,simply sleep,Insomnia
1180,5826,insulin lispro,"Diabetes, Type 2"
1181,5848,caffeine / ergotamine,Migraine
1182,5860,cariprazine,Bipolar Disorde
1183,5864,aspirin / caffeine / salicylamide,Pain
1184,5866,mucinex d maximum strength,Cough and Nasal Congestion
1185,5876,drixoral cold and allergy,Cold Symptoms
1186,5884,pemirolast,"Conjunctivitis, Allergic"
1187,5894,loperamide,Diarrhea
1188,5897,gralise,Postherpetic Neuralgia
1189,5904,ziac,High Blood Pressure
1190,5918,lifitegrast,Dry Eye Disease
1191,5923,onglyza,"Diabetes, Type 2"
1192,5933,tyvaso,Pulmonary Hypertension
1193,5939,rosiglitazone,"Diabetes, Type 2"
1194,5950,testopel,"Hypogonadism, Male"
1195,5952,acetaminophen / butalbital / caffeine / codeine,Headache
1196,5955,subsys,Chronic Pain
1197,5963,medrol dosepak,Atopic Dermatitis
1198,5971,prevpac,Helicobacter Pylori Infection
1199,5980,emetrol,Nausea/Vomiting
1200,5986,orphenadrine,Muscle Spasm
1201,5987,lamisil,"Onychomycosis, Toenail"
1202,5990,topiragen,Seizure Prevention
1203,5993,imbruvica,Chronic Lymphocytic Leukemia
1204,6024,albuterol,"Asthma, acute"
1205,6040,microgestin fe 1.5 / 30,Birth Control
1206,6048,prandin,"Diabetes, Type 2"
1207,6067,conjugated estrogens / medroxyprogesterone,Postmenopausal Symptoms
1208,6077,propoxyphene,Pain
1209,6079,acitretin,Psoriasis
1210,6087,fexofenadine / pseudoephedrine,Allergic Rhinitis
1211,6091,leflunomide,Rheumatoid Arthritis
1212,6104,diflunisal,Pain
1213,6109,urea,Dry Skin
1214,6120,acetohydroxamic acid,Urinary Tract Infection
1215,6122,sulfacetamide sodium / sulfur,Acne
1216,6132,benzphetamine,Obesity
1217,6139,hydrochlorothiazide / olmesartan,High Blood Pressure
1218,6144,niacin,High Cholesterol
1219,6147,gatifloxacin,Conjunctivitis
1220,6160,amphetamine,ADHD
1221,6161,penlac,"Onychomycosis, Toenail"
1222,6172,avalide,High Blood Pressure
1223,6175,evolocumab,"High Cholesterol, Familial Homozygous"
1224,6201,intal,"Asthma, Maintenance"
1225,6215,elmiron,Interstitial Cystitis
1226,6250,donepezil,Alzheimer's Disease
1227,6259,aspirin / butalbital / caffeine / codeine,Headache
1228,6278,brompheniramine,Allergic Rhinitis
1229,6280,butalbital compound,Migraine
1230,6287,latanoprost,Intraocular Hypertension
1231,6317,axert,Migraine
1232,6322,amantadine,Chronic Fatigue Syndrome
1233,6323,maxalt-mlt,Migraine
1234,6330,albiglutide,"Diabetes, Type 2"
1235,6357,tri-luma,Melasma
1236,6369,pegasys,Hepatitis C
1237,6395,pentosan polysulfate sodium,Interstitial Cystitis
1238,6409,antabuse,Alcohol Dependence
1239,6417,amlodipine / valsartan,ge (amlodipine / valsartan)
1240,6442,fleet enema,Constipation
1241,6447,avinza,Pain
1242,6449,zelnorm,Irritable Bowel Syndrome
1243,6538,fingolimod,Multiple Sclerosis
1244,6548,bextra,Osteoarthritis
1245,6549,sonata,Insomnia
1246,6550,erythromycin,Upper Respiratory Tract Infection
1247,6554,symax duotab,Irritable Bowel Syndrome
1248,6563,budesonide,Ulcerative Colitis
1249,6573,levitra,Erectile Dysfunction
1250,6580,glimepiride,"Diabetes, Type 2"
1251,6593,norvasc,Raynaud's Syndrome
1252,6612,cyclopentolate,Uveitis
1253,6615,lotrel,High Blood Pressure
1254,6624,kariva,Birth Control
1255,6650,misoprostol,Labor Induction
1256,6652,bentyl,Irritable Bowel Syndrome
1257,6669,bunavail,Opiate Dependence
1258,6675,alcaftadine,"Conjunctivitis, Allergic"
1259,6678,dextromethorphan / guaifenesin / phenylephrine,Cough and Nasal Congestion
1260,6680,ortho micronor,Birth Control
1261,6683,mibelas 24 fe,Birth Control
1262,6707,hi-vegi-lip,Chronic Pancreatitis
1263,6713,bromocriptine,Hyperprolactinemia
1264,6750,reclast,Osteoporosis
1265,6764,zovirax ointment,Cold Sores
1266,6791,doxepin,Insomnia
1267,6818,dabigatran,Prevention of Thromboembolism in Atrial Fibrillation
1268,6832,claritin,Allergic Rhinitis
1269,6845,zolpimist,Insomnia
1270,6867,desonide,Eczema
1271,6880,tigan,Nausea/Vomiting
1272,6885,bontril pdm,Obesity
1273,6895,sofosbuvir,Hepatitis C
1274,6898,treximet,Migraine
1275,6906,aciphex,Helicobacter Pylori Infection
1276,6907,zyrtec,Allergic Rhinitis
1277,6948,bactroban,Skin and Structure Infection
1278,6953,benzoic acid / salicylic acid,Dermatological Disorders
1279,6956,senna,Constipation
1280,6963,phenelzine,Depression
1281,6980,lasix,Edema
1282,6993,necon 1 / 50,Birth Control
1283,6999,zantac,GERD
1284,7008,kenalog-10,Alopecia
1285,7009,mefloquine,Malaria Prevention
1286,7037,magnacet,Pain
1287,7071,clorazepate,Anxiety
1288,7075,calcipotriene,Psoriasis
1289,7115,atovaquone / proguanil,Malaria
1290,7124,oramorph sr,Pain
1291,7140,toradol iv / im,Postoperative Pain
1292,7158,chlorpheniramine / hydrocodone / pseudoephedrine,Cough and Nasal Congestion
1293,7169,diprivan,Anesthesia
1294,7177,exalgo,Pain
1295,7178,chlorzoxazone,Muscle Spasm
1296,7181,ambien cr,Insomnia
1297,7196,victrelis,Hepatitis C
1298,7202,mebaral,Epilepsy
1299,7210,dilantin,Neurosurgery
1300,7242,econazole,Tinea Corporis
1301,7244,tylenol pm,Insomnia
1302,7246,levsin sl,Urinary Incontinence
1303,7250,palbociclib,"Breast Cancer, Metastatic"
1304,7252,creon,Chronic Pancreatitis
1305,7278,nalbuphine,Pain
1306,7341,ranibizumab,Macular Edema
1307,7364,tenex,High Blood Pressure
1308,7410,transderm-scop,Motion Sickness
1309,7423,gildess 24 fe,Birth Control
1310,7433,prometrium,Progesterone Insufficiency
1311,7442,gabapentin enacarbil,Postherpetic Neuralgia
1312,7461,omacor,Hypertriglyceridemia
1313,7462,ixekizumab,Plaque Psoriasis
1314,7515,zutripro,Cough and Nasal Congestion
1315,7518,naftifine,Tinea Pedis
1316,7550,epitol,Bipolar Disorde
1317,7559,luvox,Obsessive Compulsive Disorde
1318,7570,diphenhydramine / naproxen,Insomnia
1319,7572,clotrimazole,Vaginal Yeast Infection
1320,7586,imatinib,Chronic Myelogenous Leukemia
1321,7600,lessina,Birth Control
1322,7601,fenofibrate,Hypertriglyceridemia
1323,7611,ultravate,Psoriasis
1324,7673,capsaicin,Diabetic Peripheral Neuropathy
1325,7700,lexiscan,Diagnosis and Investigation
1326,7703,xeljanz,Rheumatoid Arthritis
1327,7709,cyclafem 1 / 35,Birth Control
1328,7729,factive,Bronchitis
1329,7744,rituxan,Chronic Lymphocytic Leukemia
1330,7815,menthol,Pain
1331,7838,scullcap,Herbal Supplementation
1332,7847,tussionex pennkinetic,Cough
1333,7852,gas-x,Gas
1334,7856,rheumatrex dose pack,Rheumatoid Arthritis
1335,7895,zovia,Birth Control
1336,7897,sutent,Renal Cell Carcinoma
1337,7903,mepivacaine,Local Anesthesia
1338,7927,pyridostigmine,Myasthenia Gravis
1339,7955,amerge,Migraine
1340,7975,xopenex,"Asthma, acute"
1341,7984,brompheniramine / dextromethorphan / pseudoephedrine,Cough and Nasal Congestion
1342,8005,levoxyl,Underactive Thyroid
1343,8029,hydralazine,High Blood Pressure
1344,8036,dextromethorphan / guaifenesin / pseudoephedrine,Cough and Nasal Congestion
1345,8042,evoxac,Sjogren's Syndrome
1346,8046,metrogel,Rosacea
1347,8055,dimethyl fumarate,Multiple Sclerosis
1348,8074,eskalith,Bipolar Disorde
1349,8076,fioricet with codeine,Headache
1350,8077,dofetilide,Arrhythmia
1351,8084,tretin-x,Acne
1352,8089,effient,Acute Coronary Syndrome
1353,8093,quillivant xr,ADHD
1354,8102,vaniqa,Hirsutism
1355,8105,coal tar,Seborrheic Dermatitis
1356,8112,lacrisert,Dry Eye Disease
1357,8124,nasacort allergy 24hr,Allergic Rhinitis
1358,8135,acetaminophen / caffeine / isometheptene mucate,Headache
1359,8147,dalmane,Insomnia
1360,8148,terazosin,Benign Prostatic Hyperplasia
1361,8198,atazanavir,HIV Infection
1362,8250,benadryl allergy,Insomnia
1363,8261,mestinon,Myasthenia Gravis
1364,8326,bevacizumab,Colorectal Cance
1365,8331,insulin glulisine,"Diabetes, Type 2"
1366,8363,winrho sdf,Idiopathic Thrombocytopenic Purpura
